SMILES,E0
CCCCC,-776.83801
C1CCCC1,-749.64282
CCCCCC,-926.8028
CCCC(C)C,-926.80119
CCC(C)(C)C,-926.85516
C1CCCCC1,-899.70666
C1CCCC1C,-899.66046
CCCCCCC,-1076.73327
C1CCCCC1C,-1049.57112
CCCCCCCC,-1226.70791
C1CCCCCC1,-1049.45905
C1CCCCCCC1,-1199.28637
CCC=CC,-749.19018
C1CC=CC1,-721.88916
CCCCC=C,-898.94644
CC(C)CC=C,-898.98171
CCCCC=CC,-1049.05161
C1CC=C(C)CC1,-1022.17315
CCCCCCC=C,-1198.88787
CCCCCCCC=C,-1348.76107
C=CCCC=C,-871.0452
C=C(C)C=C,-721.30663
C=CC=C,-571.18785
C1C=CCC=C1,-844.34322
C(=CCC(C(=C)C)C1)(C1)C,-1444.39102
CCCC#C,-721.05748
CCCCC#C,-871.01865
CCCCCC#C,-1020.90366
CCCCCCCC#C,-1320.86993
c1ccccc1,-817.56194
c1ccccc1C,-967.72239
c1cccc(C)c1C,-1117.83949
c1cc(C)ccc1C,-1117.87054
c1ccc(C)cc1C,-1117.88324
c1ccccc1CCC,-1267.61023
c1cc(C)cc(C)c1C,-1267.98848
c1ccc(C)c(C)c1C,-1267.92744
c1cccc(C)c1CC,-1267.76783
c1cc(C)ccc1CC,-1267.80929
c1ccccc1C(C)C,-1267.61949
c1ccccc1CCCC,-1417.59204
c1cc(CC)ccc1CC,-1417.74766
c1cc(C)ccc1C(C)C,-1417.76714
c1ccccc1C(C)(C)C,-1417.54953
c1ccccc1C(C)CC,-1417.55542
c1c(C)c(C)c(C)c(C)c1C,-1568.07643
c1ccccc1CCCCC,-1567.53057
c1ccccc1C(CC)(C)C,-1567.46301
c1ccccc1C=C,-1089.76833
c1ccccc1c2ccccc2,-1608.38415
c1ccccc1Cc2ccccc2,-1758.34713
c(c(c(c1ccc2)c2)ccc3)(c3)C1,-1731.31949
c1ccc2c3ccccc3Cc2c1C,-1881.45664
c1ccc2ccccc2c1,-1335.8234
